"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Dec-2024","EQ","2,429.00","2,434.00","2,397.10","2,457.40","2,421.95","2,419.35","2,417.59","3,743.90","2,025.00","11,81,898","2,85,73,43,239.65","74,211"
"18-Dec-2024","EQ","2,489.00","2,496.60","2,452.00","2,487.60","2,459.55","2,457.40","2,469.89","3,743.90","2,025.00","9,90,217","2,44,57,22,193.65","56,893"
"17-Dec-2024","EQ","2,512.00","2,525.00","2,480.75","2,512.40","2,488.85","2,487.60","2,503.41","3,743.90","2,025.00","10,61,891","2,65,83,51,621.40","52,797"
"16-Dec-2024","EQ","2,530.00","2,537.50","2,503.00","2,527.55","2,507.00","2,512.40","2,518.05","3,743.90","2,025.00","6,54,321","1,64,76,11,587.45","39,040"
"13-Dec-2024","EQ","2,504.00","2,545.00","2,479.05","2,504.10","2,527.00","2,527.55","2,516.13","3,743.90","2,025.00","19,40,935","4,88,36,46,911.65","86,754"
"12-Dec-2024","EQ","2,457.00","2,534.80","2,446.25","2,457.25","2,504.00","2,504.10","2,500.62","3,743.90","2,025.00","25,79,624","6,45,06,52,651.50","1,36,426"
"11-Dec-2024","EQ","2,469.00","2,480.00","2,451.00","2,467.20","2,455.00","2,457.25","2,461.57","3,743.90","2,025.00","7,12,674","1,75,42,95,160.95","43,901"
"10-Dec-2024","EQ","2,501.00","2,501.00","2,455.00","2,495.85","2,467.50","2,467.20","2,473.87","3,743.90","2,025.00","11,19,844","2,77,03,52,936.95","56,796"
"09-Dec-2024","EQ","2,507.90","2,526.00","2,483.15","2,506.40","2,494.80","2,495.85","2,503.59","3,743.90","2,025.00","9,58,369","2,39,93,62,640.00","53,488"
"06-Dec-2024","EQ","2,520.00","2,535.00","2,502.50","2,522.55","2,504.90","2,506.40","2,517.43","3,743.90","2,025.00","12,40,437","3,12,27,17,935.80","56,172"
"05-Dec-2024","EQ","2,505.00","2,538.15","2,470.25","2,494.75","2,520.90","2,522.55","2,504.40","3,743.90","2,025.00","33,33,144","8,34,75,17,764.70","1,60,996"
"04-Dec-2024","EQ","2,528.00","2,530.05","2,470.10","2,514.20","2,485.00","2,494.75","2,496.08","3,743.90","2,025.00","23,44,949","5,85,31,85,591.90","1,10,526"
"03-Dec-2024","EQ","2,464.00","2,558.00","2,462.05","2,457.05","2,511.00","2,514.20","2,510.57","3,743.90","2,025.00","40,70,042","10,21,81,12,745.45","1,60,160"
"02-Dec-2024","EQ","2,491.35","2,508.00","2,426.60","2,463.15","2,452.10","2,457.05","2,456.14","3,743.90","2,025.00","38,07,565","9,35,19,20,237.75","1,54,130"
"29-Nov-2024","EQ","2,464.05","2,520.00","2,400.00","2,437.10","2,457.00","2,463.15","2,460.36","3,743.90","2,025.00","81,91,680","20,15,44,78,534.95","3,15,730"
"28-Nov-2024","EQ","2,440.00","2,526.30","2,400.00","2,397.80","2,437.00","2,437.10","2,467.73","3,743.90","2,025.00","1,44,45,549","35,64,76,47,294.05","5,90,705"
"27-Nov-2024","EQ","2,180.00","2,418.00","2,142.15","2,150.50","2,399.00","2,397.80","2,324.71","3,743.90","2,025.00","1,75,02,156","40,68,75,07,250.30","6,20,492"
"26-Nov-2024","EQ","2,265.60","2,292.85","2,136.00","2,257.50","2,166.85","2,150.50","2,189.62","3,743.90","2,025.00","77,23,187","16,91,08,52,564.55","3,16,539"
"25-Nov-2024","EQ","2,315.00","2,333.65","2,238.00","2,228.00","2,265.20","2,257.50","2,295.02","3,743.90","2,025.00","74,66,733","17,13,63,26,445.75","2,52,789"
"22-Nov-2024","EQ","2,101.00","2,289.70","2,025.00","2,183.65","2,229.90","2,228.00","2,188.51","3,743.90","2,025.00","2,09,39,196","45,82,55,77,129.80","7,11,465"
"21-Nov-2024","EQ","2,539.35","2,539.35","2,155.05","2,821.50","2,160.00","2,183.65","2,254.30","3,743.90","2,142.00","2,17,96,668","49,13,62,35,919.80","7,92,663"
